aX,aY,aZ,gX,gY,gZ
0.220,-1.558,0.035,112.560,4.550,-19.600
0.218,-1.582,-0.044,104.790,4.060,-24.920
0.189,-1.637,-0.101,101.290,5.110,-37.100
0.158,-1.679,-0.186,100.380,7.560,-49.070
0.117,-1.689,-0.248,95.620,8.820,-54.670
0.070,-1.707,-0.271,87.360,11.550,-65.100
0.045,-1.688,-0.307,82.460,12.530,-73.290
0.005,-1.674,-0.325,74.900,12.110,-77.490
-0.039,-1.650,-0.332,69.510,11.690,-85.190
-0.059,-1.581,-0.343,59.010,11.760,-89.600
-0.076,-1.535,-0.328,41.860,13.720,-90.580
-0.079,-1.473,-0.185,21.420,14.000,-94.640
-0.076,-1.400,-0.058,-34.790,12.950,-101.640
-0.093,-1.331,-0.081,-66.990,14.000,-103.040
-0.116,-1.015,-0.522,-45.150,81.760,-68.460
-0.170,-0.909,-0.346,-43.190,91.210,-55.230
-0.153,-0.927,-0.295,-33.950,100.940,-50.260
-0.135,-0.866,-0.467,-32.760,124.670,-40.670
-0.145,-0.800,-0.633,-12.390,142.940,-33.670
-0.193,-0.745,-0.615,4.340,172.900,-21.350
-0.218,-0.795,-0.582,12.530,193.690,-19.250
-0.256,-0.858,-0.508,24.990,197.540,-23.730
-0.250,-0.943,-0.509,36.750,204.050,-37.240
-0.245,-1.011,-0.526,46.200,206.360,-54.880
-0.224,-1.034,-0.482,68.530,206.150,-63.980
-0.154,-1.048,-0.460,94.920,206.780,-80.640
-0.118,-1.105,-0.343,105.070,207.900,-96.460
-0.066,-1.137,-0.146,120.260,210.350,-103.040
-0.051,-1.212,-0.040,128.100,210.210,-114.310
-0.038,-1.294,0.254,133.630,206.640,-124.950
0.003,-1.347,0.422,118.930,192.010,-131.320
0.064,-1.457,0.798,103.880,161.840,-147.700
0.098,-1.518,1.094,73.430,139.720,-171.570
0.138,-1.578,1.162,56.910,85.750,-184.730
0.162,-1.495,1.125,57.820,28.980,-208.390
0.167,-1.385,0.934,61.110,6.020,-217.700
0.162,-1.105,0.739,66.150,-7.980,-212.310
0.165,-0.902,0.579,51.170,-20.160,-208.390
0.225,-0.854,0.433,35.210,-24.920,-208.110
0.242,-0.735,0.293,22.120,-28.630,-209.510

2.457,1.282,1.314,-153.300,-97.300,351.750
2.463,1.205,1.647,-152.810,-106.190,347.970
2.279,1.066,1.746,-136.360,-121.520,332.220
2.146,1.099,1.950,-126.000,-130.760,316.050
1.899,1.121,2.122,-106.750,-152.460,309.120
1.689,1.145,2.164,-92.260,-169.960,297.640
1.562,1.084,2.181,-84.000,-175.910,285.880
1.204,1.000,2.217,-68.110,-185.920,276.640
0.727,0.814,2.163,-39.620,-208.040,256.690
